,type,country,activity,age,species_,mes,fatal,sex,especie_tiburon,year,age_ok
901,Unprovoked,usa,Jumped off rocks into white water,12,Small shark,Sep,N,F,Unspecified,1994,12.0
902,Unprovoked,reunion,Windsurfing,24,3 to 3.5 m [10' to 11.5'] bull shark,Jul,Y,M,Unspecified,1994,24.0
903,Unprovoked,south africa,Surfing,22,4 m [13'] white shark,Jul,Y,M,Unspecified,1994,22.0
904,Unprovoked,south africa,Surfing,31,4 m [13'] white shark,Jul,N,M,Unspecified,1994,31.0
905,Unprovoked,usa,Surfing,15,"""small shark""",Jul,N,M,Unspecified,1994,15.0
906,Unprovoked,bahamas,Spearfishing,30,1.8 m [6'] shark,Jun,N,M,Unspecified,1994,30.0
907,Unprovoked,usa,Surfing, 28,1.2 m [4'] spinner shark,May,N,M,Unspecified,1994,28.0
908,Unprovoked,usa,Surfing,22,>1.8 m [6'] shark,May,N,M,Unspecified,1994,22.0
909,Unprovoked,usa,Surfing,23,1.2 m [4'] shark,Feb,N,M,Unspecified,1994,23.0
910,Unprovoked,south africa,Surfing,15,3 m [10'] white shark,Feb,N,M,Unspecified,1994,15.0
911,Unprovoked,south africa,Swimming ,33,"1.3 m [4'3""] shark",Jan,N,M,Unspecified,1994,33.0
912,Unprovoked,australia,Hookah diving,27,Tiger shark caught 6 days later with divers remains in its gut,Nov,Y,M,Tiger shark,1993,27.0
913,Unprovoked,usa,Surfing,26,4 m to 5 m [13' to 16.5'] white shark,Oct,N,M,Unspecified,1993,26.0
914,Unprovoked,usa,Swimming,26,3 m [10'] bull shark,Oct,N,F,Unspecified,1993,26.0
915,Boating,usa,Kayaking,34,>6 m [20'] white shark,Oct,N,F,Unspecified,1993,34.0
916,Unprovoked,south africa,Spearfishing,36,3 m [10'] white shark,Sep,N,M,Unspecified,1993,36.0
917,Unprovoked,spain,Swimming,69,1.2 m [4'] shark,Sep,N,M,Unspecified,1993,25.0
918,Unprovoked,bahamas,Spearfishing,51,1.8 m [6'] blacktip shark or Caribbean reef shark,Aug,N,M,Unspecified,1993,51.0
